country,最有名研究领域1,最有名研究领域2,最有名研究领域3
United States,Artificial intelligence,Machine learning,Operating system
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Neuroscience,Artificial neural network
Germany,Artificial intelligence,Computer vision,Quantum mechanics
United States,Artificial intelligence,Control theory,Statistics
United States,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Artificial intelligence,Statistics
China,Artificial intelligence,Statistics,Magnetic resonance imaging
United States,Artificial intelligence,Statistics,Machine learning
France,Artificial intelligence,Statistics,Machine learning
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Machine learning,Artificial neural network
Switzerland,Operating system,Artificial intelligence,Electrical engineering
United States,Telecommunications,Computer network,Wireless
United States,Computer network,Statistics,Artificial intelligence
Germany,Artificial intelligence,Magnetic resonance imaging,Computer vision
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Operating system,Programming language
Switzerland,Artificial intelligence,Algorithm,Computer network
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Neuroscience,Statistics
United States,Artificial intelligence,The Internet,Database
United States,Algorithm,Combinatorics,Programming language
China,Artificial intelligence,Machine learning,Statistics
Switzerland,Artificial intelligence,Computer vision,Mechanical engineering
United States,Operating system,Programming language,Artificial intelligence
United States,Artificial intelligence,Magnetic resonance imaging,Internal medicine
United States,Artificial intelligence,Operating system,Robot
United Kingdom,Artificial intelligence,Machine learning,Statistics
United Kingdom,Computer network,Telecommunications,Algorithm
United States,Artificial intelligence,Machine learning,Statistics
Poland,Artificial intelligence,Statistics,Algorithm
Israel,Combinatorics,Discrete mathematics,Algebra
United States,Operating system,Computer network,Computer security
United Kingdom,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Computer graphics
United States,Artificial intelligence,Machine learning,Artificial neural network
United States,Artificial intelligence,Machine learning,The Internet
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Statistics,Algorithm
Germany,Artificial intelligence,Computer vision,Statistics
United States,Computer network,Gene,Operating system
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Statistics
China,Artificial intelligence,Computer vision,Machine learning
United States,Quantum mechanics,Statistics,Geometry
Belgium,Artificial intelligence,Programming language,Algorithm
United States,Artificial intelligence,World Wide Web,The Internet
United States,Computer network,Operating system,The Internet
Spain,Artificial intelligence,Statistics,The Internet
China,Artificial intelligence,Statistics,Computer vision
United States,Artificial intelligence,Quantum mechanics,Robot
Switzerland,Operating system,Central processing unit,Programming language
United States,Artificial intelligence,Computer vision,Statistics
United States,Statistics,Algorithm,Algebra
United States,Cryptography,Programming language,Algorithm
Netherlands,Artificial intelligence,Internal medicine,Radiology
United States,Programming language,Artificial intelligence,Algorithm
China,Artificial intelligence,Machine learning,World Wide Web
United States,Telecommunications,Computer network,Statistics
United States,Operating system,Computer network,Software
United States,Mathematical analysis,Artificial intelligence,Algorithm
United States,Artificial intelligence,Statistics,The Internet
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Machine learning,Statistics
Germany,Artificial intelligence,Statistics,Speech recognition
Singapore,Artificial intelligence,Machine learning,Mathematical optimization
United States,Programming language,Algorithm,Artificial intelligence
United States,Artificial intelligence,Statistics,Computer vision
Switzerland,Artificial intelligence,Mathematical analysis,Statistics
Austria,Programming language,Operating system,Algorithm
United States,Artificial intelligence,Information retrieval,Programming language
China,Artificial intelligence,Computer vision,Machine learning
Singapore,Computer network,The Internet,Telecommunications
United States,Statistics,Artificial intelligence,Mathematical analysis
United States,Operating system,Central processing unit,Programming language
United States,Artificial intelligence,Machine learning,Statistics
United States,Database,Programming language,Operating system
United States,Operating system,Artificial intelligence,Computer network
China,Artificial intelligence,Computer vision,Machine learning
France,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Artificial intelligence,Computer security
United States,Operating system,Central processing unit,Artificial intelligence
United States,Algorithm,Computer network,Statistics
United States,Artificial intelligence,Machine learning,Computer vision
United States,Database,Operating system,Programming language
Australia,Artificial intelligence,Internal medicine,Statistics
Switzerland,Artificial intelligence,Computer vision,Operating system
Switzerland,Artificial intelligence,Machine learning,Artificial neural network
Austria,Artificial intelligence,Electroencephalography,Neuroscience
United States,Operating system,Artificial intelligence,Graphical user interface
Switzerland,Artificial intelligence,Computer vision,Computer graphics
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Statistics,Machine learning
United States,The Internet,Computer network,Operating system
United States,Mathematical optimization,Artificial intelligence,Algorithm
United States,Artificial intelligence,Computer vision,Algorithm
Switzerland,Artificial intelligence,Computer vision,Machine learning
Germany,Artificial intelligence,Computer vision,Statistics
China,Computer network,Operating system,The Internet
United States,Artificial intelligence,Computer vision,Computer network
Israel,Artificial intelligence,Computer vision,Geometry
United States,Programming language,Operating system,Computer network
Israel,Algorithm,Cryptography,Computer network
Israel,Programming language,Algorithm,Artificial intelligence
United States,Artificial intelligence,Statistics,Algorithm
United States,Gene,Artificial intelligence,DNA
China,Artificial intelligence,Machine learning,Operating system
Taiwan,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,The Internet,Operating system
United States,Operating system,Database,Programming language
Japan,Artificial intelligence,Statistics,Machine learning
United States,Statistics,Artificial intelligence,Machine learning
United States,Artificial intelligence,The Internet,Operating system
Canada,Mathematical optimization,Artificial intelligence,Algorithm
United States,Artificial intelligence,Mathematical optimization,Statistics
China,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Algorithm,Computer vision
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Programming language,Algorithm
United States,Computer network,Operating system,The Internet
United Kingdom,Artificial intelligence,Computer vision,Statistics
United States,Computer network,Operating system,The Internet
Belgium,Statistics,Artificial intelligence,Gene
United States,Operating system,Database,Programming language
United States,Artificial intelligence,Natural language processing,Law
United States,Artificial intelligence,The Internet,World Wide Web
United States,Artificial intelligence,Law,The Internet
Singapore,Artificial intelligence,Machine learning,The Internet
China,Artificial intelligence,Computer vision,Operating system
United States,Programming language,Algorithm,Artificial intelligence
Israel,Algorithm,Cryptography,Algebra
United States,Artificial intelligence,Speech recognition,Machine learning
United States,Computer network,Operating system,The Internet
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,Telecommunications,Statistics
United States,Artificial intelligence,Robot,Statistics
United States,Gene,Artificial intelligence,Quantum mechanics
China,Artificial intelligence,Machine learning,Computer vision
United States,Optics,Artificial intelligence,Computer vision
United Kingdom,Artificial intelligence,Machine learning,Computer vision
United States,Mathematical optimization,Computer network,Mathematical analysis
United States,Artificial intelligence,Statistics,Machine learning
Germany,Artificial intelligence,Machine learning,Database
United Kingdom,Artificial intelligence,Programming language,Law
Hungary,Combinatorics,Discrete mathematics,Algebra
United States,Artificial intelligence,Machine learning,Algorithm
United States,Artificial intelligence,Operating system,Programming language
Italy,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,The Internet,Computer security
United States,The Internet,Operating system,Computer security
India,Computer network,The Internet,Artificial intelligence
United States,The Internet,Artificial intelligence,Operating system
United States,Operating system,Computer network,Database
United States,Artificial intelligence,Computer vision,Machine learning
Switzerland,Computer network,Operating system,The Internet
United Kingdom,Operating system,Central processing unit,Computer network
United States,Computer network,Operating system,The Internet
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Statistics,Machine learning
United States,Programming language,Operating system,Database
Canada,Artificial intelligence,Machine learning,Computer vision
United Kingdom,Artificial intelligence,Programming language,The Internet
Germany,Artificial intelligence,Operating system,Database
United States,Database,Programming language,Artificial intelligence
United States,Artificial intelligence,Programming language,Statistics
United Kingdom,Programming language,Artificial intelligence,Software
China,无研究领域,无研究领域,无研究领域
United States,Programming language,Operating system,Algorithm
United Kingdom,Computer network,The Internet,Operating system
United States,Computer network,Operating system,The Internet
France,Statistics,Artificial intelligence,Machine learning
United States,Artificial intelligence,Optics,Computer vision
Canada,Computer network,Telecommunications,The Internet
United States,Computer network,The Internet,Operating system
United States,Artificial intelligence,Statistics,Computer vision
United States,Artificial intelligence,Machine learning,Operating system
United States,Statistics,Artificial intelligence,Algorithm
Israel,Artificial intelligence,Algorithm,Statistics
Canada,The Internet,Social psychology,Artificial intelligence
United Kingdom,Artificial intelligence,Computer vision,Statistics
Canada,Artificial intelligence,Machine learning,Data mining
United States,Artificial intelligence,Statistics,Machine learning
Switzerland,Computer network,The Internet,Computer security
United Kingdom,Programming language,Artificial intelligence,Operating system
Germany,Artificial intelligence,Computer vision,Surgery
United States,Operating system,Database,Programming language
Iceland,Artificial intelligence,Machine learning,Statistics
United States,Computer network,The Internet,Operating system
United States,Artificial intelligence,Internal medicine,Statistics
Singapore,Artificial intelligence,Machine learning,Natural language processing
United States,Electrical engineering,Artificial intelligence,Mechanical engineering
Canada,Operating system,Artificial intelligence,The Internet
United States,Operating system,Algorithm,Programming language
United States,Artificial intelligence,Statistics,Speech recognition
Germany,Artificial intelligence,Computer vision,Machine learning
Australia,Artificial intelligence,Machine learning,Statistics
United States,Operating system,The Internet,Computer network
United States,Artificial intelligence,Operating system,The Internet
United Kingdom,Artificial intelligence,Computer vision,Statistics
United Kingdom,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Programming language,Natural language processing
United States,Artificial intelligence,Law,Programming language
United States,Operating system,The Internet,Computer network
United Kingdom,Artificial intelligence,Speech recognition,Machine learning
United States,Artificial intelligence,Operating system,Programming language
United States,Operating system,Artificial intelligence,Programming language
Canada,Artificial intelligence,Programming language,Software
India,Artificial intelligence,Machine learning,Operating system
United States,Artificial intelligence,Speech recognition,Linguistics
United States,Operating system,Programming language,Software
United States,Operating system,Central processing unit,Algorithm
United States,Programming language,Operating system,The Internet
United States,Artificial intelligence,Machine learning,Statistics
United States,Algorithm,Artificial intelligence,Statistics
Germany,Artificial intelligence,Neuroscience,Statistics
United States,Artificial intelligence,Programming language,The Internet
Austria,Artificial intelligence,Computer vision,Machine learning
Australia,Artificial intelligence,Computer vision,Machine learning
United Arab Emirates,Computer network,Artificial intelligence,The Internet
United Kingdom,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Computer network,The Internet
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Machine learning,Computer vision
Israel,Combinatorics,Geometry,Algorithm
United Kingdom,Artificial intelligence,Algorithm,Programming language
Denmark,Operating system,Database,Artificial intelligence
United States,Operating system,Computer network,World Wide Web
United States,Artificial intelligence,Statistics,Algorithm
Germany,Gene,DNA,Genome
United States,The Internet,Social psychology,Social science
United States,Artificial intelligence,Statistics,Machine learning
Austria,Geometry,Combinatorics,Algorithm
United States,Artificial intelligence,Natural language processing,Programming language
Spain,Artificial intelligence,Social psychology,Operating system
United States,Artificial intelligence,Programming language,Machine learning
United States,Artificial intelligence,Computer vision,Computer graphics
United States,Computer network,Artificial intelligence,Algorithm
China,Computer network,Algorithm,Mathematical optimization
China,Computer network,Telecommunications,Statistics
Germany,Artificial intelligence,Machine learning,Statistics
United Kingdom,Law,The Internet,Statistics
Germany,Artificial intelligence,Computer vision,Perception
Switzerland,Artificial intelligence,Machine learning,Algorithm
China,Artificial intelligence,Machine learning,Statistics
China,Artificial intelligence,Machine learning,Statistics
China,Computer network,The Internet,Telecommunications
United States,Artificial intelligence,Operating system,Microsoft Windows
Israel,Cryptography,Algorithm,Algebra
United States,Statistics,Telecommunications,Computer network
United States,Algorithm,Discrete mathematics,Combinatorics
Mexico,Artificial intelligence,Mathematical optimization,Algorithm
United States,Artificial intelligence,Programming language,Statistics
China,Computer network,Operating system,Artificial intelligence
United States,Computer network,Operating system,Algorithm
Israel,Artificial intelligence,Statistics,Quantum mechanics
United States,Artificial intelligence,Computer vision,Machine learning
Canada,Computer network,The Internet,Telecommunications
United States,Artificial intelligence,Speech recognition,Linguistics
United States,Artificial intelligence,Machine learning,Statistics
United States,Statistics,Computer network,Mathematical analysis
United States,Internal medicine,Artificial intelligence,Statistics
United States,Artificial intelligence,Computer vision,Machine learning
Finland,Artificial intelligence,Computer vision,Pattern recognition
United States,Operating system,Computer security,Cryptography
United States,Artificial intelligence,Cognition,Statistics
United States,Computer network,Operating system,The Internet
United States,Management,Marketing,Social science
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Cognition,Mathematics education
United States,Database,Operating system,Programming language
Canada,Artificial intelligence,Machine learning,Statistics
United States,Database,Programming language,Artificial intelligence
United States,Artificial intelligence,Law,Programming language
Brazil,Computer network,The Internet,Artificial intelligence
United States,Artificial intelligence,Operating system,The Internet
United Kingdom,The Internet,Operating system,Computer network
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,The Internet,World Wide Web
United Kingdom,Gene,Bioinformatics,DNA
United Kingdom,Artificial intelligence,Algorithm,Mathematical optimization
United States,Social psychology,The Internet,Social science
Czech Republic,Artificial intelligence,Computer vision,Statistics
Saudi Arabia,Mathematical analysis,Artificial intelligence,Algorithm
China,Computer network,Operating system,The Internet
France,Artificial intelligence,Computer vision,Geometry
Israel,Computer network,Telecommunications,Statistics
Switzerland,Artificial intelligence,Statistics,Computer network
United States,Computer network,Operating system,Programming language
United States,Law,Social science,Epistemology
Netherlands,Programming language,Algebra,Algorithm
United States,Artificial intelligence,Machine learning,The Internet
Poland,Artificial intelligence,Machine learning,Statistics
Switzerland,Computer network,Operating system,The Internet
China,Artificial intelligence,Computer network,Operating system
United States,Operating system,The Internet,Computer network
United States,Electrical engineering,Computer network,Artificial intelligence
United States,Computer network,Operating system,The Internet
Switzerland,Artificial intelligence,Computer vision,Programming language
United States,Gene,DNA,Artificial intelligence
United States,Computer network,The Internet,Operating system
United States,Operating system,Programming language,Software
Italy,Computer network,Telecommunications,Artificial intelligence
United States,Algorithm,Combinatorics,Programming language
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Computer vision,Machine learning
United States,The Internet,Artificial intelligence,Operating system
United States,Programming language,Database,Statistics
Canada,Programming language,Software,Software engineering
United States,Artificial intelligence,Computer vision,Operating system
Saudi Arabia,Artificial intelligence,Statistics,Machine learning
United States,Computer network,The Internet,Artificial intelligence
Belgium,Operating system,Cryptography,The Internet
China,Computer network,Artificial intelligence,The Internet
Italy,Artificial intelligence,Machine learning,Computer vision
United States,Artificial intelligence,Speech recognition,Artificial neural network
United States,Computer network,Statistics,Telecommunications
Switzerland,Operating system,Computer network,Programming language
United States,Gene,Genome,DNA
United States,Operating system,Microsoft Windows,The Internet
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,The Internet,Law
United Kingdom,Operating system,The Internet,World Wide Web
United States,Artificial intelligence,Statistics,Machine learning
United Kingdom,Artificial intelligence,Machine learning,Speech recognition
United States,Statistics,Artificial intelligence,Machine learning
United States,Operating system,Computer network,Central processing unit
Greece,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Computer network,Algorithm
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Algorithm,Organic chemistry
Australia,Operating system,Artificial intelligence,Computer network
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Computer vision,Quantum mechanics
United States,The Internet,Artificial intelligence,Computer network
Qatar,Control theory,Artificial intelligence,Quantum mechanics
Mexico,Artificial intelligence,Machine learning,Statistics
Canada,Operating system,Software,Programming language
Ireland,Artificial intelligence,Computer vision,Quantum mechanics
United States,Artificial intelligence,Statistics,Computer vision
United States,Programming language,Algorithm,Algebra
Canada,Artificial intelligence,Statistics,Radar
United States,Artificial intelligence,Machine learning,Programming language
United States,Artificial intelligence,Computer vision,The Internet
United States,Artificial intelligence,Machine learning,Operating system
China,Artificial intelligence,Computer vision,Statistics
France,Computer network,Telecommunications,Statistics
United Kingdom,Artificial intelligence,Statistics,Algorithm
Italy,Algorithm,Mathematical optimization,Operating system
United States,Gene,Artificial intelligence,Internal medicine
United Kingdom,Statistics,Ecology,Artificial intelligence
Switzerland,Artificial intelligence,Statistics,Machine learning
China,Marketing,Mathematical optimization,Management
United Kingdom,Artificial intelligence,Internal medicine,Magnetic resonance imaging
United States,Artificial intelligence,Computer vision,Operating system
China,Artificial intelligence,Machine learning,Statistics
United States,Cryptography,Operating system,Programming language
Germany,Artificial intelligence,Computer vision,Computer graphics
Canada,Computer network,Operating system,The Internet
Canada,Operating system,Computer network,Artificial intelligence
United States,Operating system,Artificial intelligence,Programming language
United States,Operating system,The Internet,Artificial intelligence
United States,Artificial intelligence,Machine learning,Statistics
United States,Operating system,Database,Programming language
China,Computer network,Operating system,The Internet
United States,Programming language,Computer network,Operating system
China,Artificial intelligence,Machine learning,The Internet
United States,Computer network,The Internet,Operating system
United States,Algorithm,Operating system,Programming language
Spain,Artificial intelligence,Machine learning,Statistics
France,Artificial intelligence,Statistics,Machine learning
United Arab Emirates,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Computer vision
United States,Computer network,Artificial intelligence,Statistics
China,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Artificial intelligence,Central processing unit
United States,Artificial intelligence,Computer vision,Computer graphics
Italy,Artificial intelligence,Statistics,Machine learning
United States,Operating system,Electrical engineering,Algorithm
United Kingdom,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Algorithm,Game theory
Singapore,Artificial intelligence,Database,Operating system
Italy,Artificial intelligence,Algorithm,Quantum mechanics
New Zealand,Artificial intelligence,Operating system,Machine learning
Canada,Artificial intelligence,Machine learning,Artificial neural network
United States,Programming language,Operating system,Algorithm
United Kingdom,Gene,Bioinformatics,Database
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Internal medicine
United States,Cryptography,Algorithm,Algebra
United States,Operating system,Computer network,The Internet
United States,Computer network,Operating system,The Internet
United States,Statistics,Algorithm,Computer network
United States,Operating system,Database,Programming language
Singapore,Artificial intelligence,Machine learning,Computer vision
China,Artificial intelligence,Computer vision,Algorithm
Germany,Artificial intelligence,Machine learning,Data mining
United States,Artificial intelligence,Algorithm,Programming language
United States,Artificial intelligence,Statistics,Computer network
Estonia,Programming language,Artificial intelligence,Database
Austria,The Internet,Operating system,Software
Switzerland,Artificial intelligence,Computer vision,Robotics
United States,Artificial intelligence,Computer vision,Programming language
United States,Artificial intelligence,Computer vision,Statistics
United Kingdom,Law,Marketing,The Internet
Switzerland,Operating system,Programming language,Electrical engineering
United States,Operating system,Artificial intelligence,Microsoft Windows
United States,Artificial intelligence,Machine learning,The Internet
United Kingdom,Law,Artificial intelligence,Management
United States,Database,Operating system,Programming language
Israel,Computer network,Algorithm,Programming language
United States,Operating system,Database,Artificial intelligence
United States,Cryptography,Algorithm,Public-key cryptography
United States,Programming language,Operating system,Database
United States,Artificial intelligence,Machine learning,Statistics
United States,Computer network,Operating system,The Internet
United States,Algorithm,Artificial intelligence,Statistics
United States,Software engineering,Programming language,Software
Singapore,Computer network,The Internet,Operating system
United States,Artificial intelligence,Statistics,Machine learning
Canada,Mathematical optimization,Algorithm,Statistics
United States,Artificial intelligence,Operating system,The Internet
United States,Mathematical analysis,Artificial intelligence,Machine learning
United States,Computer network,Artificial intelligence,Game theory
United Kingdom,Computer network,Telecommunications,Statistics
United States,Programming language,Algorithm,Operating system
Germany,Artificial intelligence,Machine learning,Statistics
Switzerland,Artificial intelligence,Electrical engineering,Machine learning
Australia,Artificial intelligence,Machine learning,Artificial neural network
China,Artificial intelligence,Computer vision,Machine learning
Taiwan,Artificial intelligence,Algorithm,Operating system
China,Gene,Internal medicine,Computer network
United States,Artificial intelligence,Statistics,Algorithm
China,Artificial intelligence,Machine learning,World Wide Web
Belgium,Operating system,Cryptography,Computer network
Poland,Computer network,Artificial intelligence,Operating system
United States,Artificial intelligence,Computer vision,Statistics
United States,Programming language,Operating system,Compiler
United States,Statistics,Artificial intelligence,Machine learning
United States,Algorithm,Artificial intelligence,The Internet
United Kingdom,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Algorithm,The Internet
Belgium,Artificial intelligence,Statistics,Machine learning
United States,Operating system,Programming language,Parallel computing
Austria,Programming language,Artificial intelligence,World Wide Web
United States,Computer network,The Internet,Operating system
Germany,Artificial intelligence,Computer vision,Machine learning
United States,Computer network,Artificial intelligence,The Internet
United Kingdom,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Computer vision,Geometry
United Kingdom,Gene,Statistics,Artificial intelligence
Canada,Artificial intelligence,Magnetic resonance imaging,Internal medicine
India,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Computer vision,Statistics
United States,Cryptography,Computer network,The Internet
United States,Computer network,The Internet,Operating system
Germany,Operating system,Programming language,Database
United States,Operating system,The Internet,Computer network
United States,Statistics,Artificial intelligence,Machine learning
United States,Computer network,The Internet,Operating system
United States,Algorithm,Programming language,Algebra
United States,Artificial intelligence,Mathematics education,Statistics
United States,Artificial intelligence,Programming language,Machine learning
United States,Mathematical optimization,Computer network,Algorithm
Germany,Artificial intelligence,Programming language,Software
Germany,Operating system,Computer security,The Internet
United States,Artificial intelligence,Computer vision,Machine learning
United States,Operating system,Artificial intelligence,Programming language
United States,Computer network,The Internet,Artificial intelligence
Taiwan,Law,Artificial intelligence,Educational technology
United States,Artificial intelligence,Computer vision,Computer graphics
China,Artificial intelligence,Statistics,Machine learning
India,Operating system,Artificial intelligence,Database
United States,Artificial intelligence,Operating system,Computer vision
United Kingdom,Artificial intelligence,Machine learning,Statistics
Israel,Artificial intelligence,Gene,Statistics
United States,Software,Software engineering,Software development
United Kingdom,Human–computer interaction,The Internet,Artificial intelligence
Australia,Artificial intelligence,Computer vision,Computer network
United States,Cryptography,Computer network,Programming language
United States,Artificial intelligence,Computer vision,Statistics
United States,Artificial intelligence,Computer vision,Statistics
United States,Operating system,Computer network,The Internet
United States,Artificial intelligence,Algorithm,Operating system
Netherlands,Artificial intelligence,Internal medicine,Radiology
United States,Artificial intelligence,Machine learning,Algorithm
United States,Operating system,Programming language,Artificial intelligence
United States,Artificial intelligence,Machine learning,Programming language
China,Artificial intelligence,Machine learning,Statistics
Australia,Artificial intelligence,Operating system,Human–computer interaction
United States,Operating system,Programming language,The Internet
Canada,Computer network,Operating system,Artificial intelligence
United States,Programming language,Algorithm,Algebra
Denmark,Programming language,Algorithm,Operating system
Italy,Programming language,Database,Artificial intelligence
China,Artificial intelligence,Machine learning,Statistics
United States,Artificial intelligence,Machine learning,Computer vision
China,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Surgery,Radiology
United Kingdom,Artificial intelligence,Machine learning,Pattern recognition
United States,Operating system,Central processing unit,Programming language
United States,Epistemology,Law,Artificial intelligence
United States,Artificial intelligence,Operating system,The Internet
United States,Database,Operating system,Programming language
United States,Programming language,Operating system,Algorithm
China,Artificial intelligence,Machine learning,Computer vision
United States,Algorithm,Artificial intelligence,Statistics
United States,Operating system,Artificial intelligence,Central processing unit
United Kingdom,Artificial intelligence,Natural language processing,Programming language
United States,Operating system,Computer network,The Internet
United Kingdom,Management,Marketing,Social science
China,Artificial intelligence,Machine learning,Statistics
China,Artificial intelligence,Operating system,Programming language
Spain,Artificial intelligence,Machine learning,The Internet
United States,Operating system,Programming language,Computer network
United States,Artificial intelligence,Computer vision,Machine learning
United States,Artificial intelligence,Statistics,Machine learning
United States,Artificial intelligence,Programming language,Machine learning
United States,Combinatorics,Geometry,Algebra
United States,Artificial intelligence,Microsoft Windows,Human–computer interaction
United States,Artificial intelligence,The Internet,Human–computer interaction
United States,Artificial intelligence,Programming language,Natural language processing
United States,Statistics,Algorithm,Artificial intelligence
United States,Database,Operating system,Programming language
United States,Artificial intelligence,Quantum mechanics,Optics
United States,Database,Artificial intelligence,XML
United States,Artificial intelligence,Machine learning,Programming language
France,Database,Programming language,Operating system
